AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
AGID00168,7.044905117129371,2865,Set181,c-Abl_pY412,-0.175000663,ABL1,Caution,Rabbit,PTM,0.021955013,-7.970874943
AGID00293,7.413970290190444,ab32384,Set181,CDK1_pT14,0.743105976,CDK1/CDK2/CDK3,Caution,Rabbit,PTM,0.288647387,2.574442068
AGID00314,7.486613313139955,4539,Old,CDK1_pY15,0.14859,CDK1,Caution,Rabbit,PTM,-0.054586,-2.722126553
AGID00234,7.207118856207756,ab79758,Old,CHK1_pS296,-0.075422,CHEK1,Valid,Rabbit,PTM,0.064504,-1.169260821
AGID00107,6.806829360392176,2348,Old,CHK1_pS345,0.00091094,CHEK1,Caution,Rabbit,PTM,-0.041439,-0.021982673
AGID00019,4.997212273764115,2197,Old,CHK2_pT68,0.061157,CHEK2,Caution,Rabbit,PTM,0.24963,0.244990586
AGID00434,5.049856007249537,9164,Old,CJUN_pS73,-0.21457,JUN,Valid,Rabbit,PTM,-0.42044,0.510346304
AGID00079,6.590301048196686,3129,Old,CMET_pY1235,-0.22583,MET,Valid,Rabbit,PTM,0.07654,-2.950483407
AGID00022,5.19295685089021,9427,Old,CRAF_pS338,0.045197,RAF1,Valid,Rabbit,PTM,-0.10022,-0.450977849
AGID00393,7.755767170102998,9198,Set181,CREB_pS133,-0.100981013,CREB1,Caution,Rabbit,PTM,-0.327584977,0.308258986
AGID00308,7.479299637782834,GTX10524,Set181,DAPK1_pS308,0.518890469,DAPK1,Caution,Mouse,PTM,-0.462351861,-1.122284807
AGID00428,7.784889295655098,SAB4504671,Set181,DDR1_pY513,0.115090674,DDR1,Caution,Rabbit,PTM,0.293508559,0.392120333
AGID00407,7.771488760117616,13609,Set181,D _POLG,0.571620708,POLG,Valid,Rabbit,PTM,0.890862814,0.64164841
AGID00450,5.384495062789089,2234,Old,EGFR_pY1068,0.24479,EGFR,Caution,Rabbit,PTM,-0.47786,-0.512263006
AGID00026,5.402677381872279,1124-1/ab32578,Old,EGFR_pY1173,2.0,EGFR,Valid,Rabbit,PTM,2.0,2.0
AGID00328,7.534762657037537,ab76256,Set181,eIF4E_pS209,-0.182110464,EIF4E,Valid,Rabbit,PTM,-0.203474869,0.895002242
AGID00027,5.43372200355424,9181,Set181,Elk1_pS383,-0.328583502,ELK1,Caution,Rabbit,PTM,-0.16420324,2.001078066
AGID00552,7.792761720816526,6347,Set181,EphA2_pS897,-0.048090658,EPHA2,Caution,Rabbit,PTM,-0.368537311,0.130490609
AGID00553,7.793174347189205,12677,Set181,EphA2_pY588,-0.425275501,EPHA2,Caution,Rabbit,PTM,-0.411450529,1.033600569
AGID00029,5.488937726156687,1091-1/ab32396,Old,ERALPHA_pS118,-0.40542,ESR1,Valid,Rabbit,PTM,-0.3774,1.074244833
AGID02151,7.80710329012598,8556,Set181,FAK_pY397,-0.503238129,PTK2,Valid,Rabbit,PTM,-0.292687633,1.719369294
AGID02197,7.830425617820331,orb6051,Old,FOXO3A_pS318S321,0.034994,FOXO3,Caution,Rabbit,PTM,0.006071,5.764124526
AGID02167,7.814399633804487,PA5-64616,Set181,FRS2-alpha_pY196,2.0,FRS2,Valid,Rabbit,PTM,2.0,2.0
AGID00502,6.9874902470009905,9336,Old,GSK3_pS9,-1.2119,GSK3B,Valid,Rabbit,PTM,-2.1103,0.574278539
AGID00034,5.655991810819852,9331,Old,GSK3ALPHABETA_pS21S9,-1.2123,GSK3A/GSK3B,Valid,Rabbit,PTM,-1.9661,0.616601394
AGID00130,6.9440872082295275,3891,Old,GYS_pS641,-0.02873921201086957,GYS1,Valid,Rabbit,PTM,-0.27407141500000004,-1.1314021922934783
AGID01354,7.202661196523238,9718,Set181,H2AX_pS139,0.171491321,H2AX,Caution,Rabbit,PTM,0.256572091,0.668394292
AGID00363,7.251344983372214,MA1-2022,Set181,H2AX_pS140,0.241766041,H2AX,Caution,Mouse,PTM,-0.052495889,-4.605428075
AGID00142,5.703782474656201,06-229,Old,HER2_pY1248,-0.26894,ERBB2,Valid,Rabbit,PTM,-0.30669,0.876911539
AGID00080,6.591673732008658,4791,Old,HER3_pY1289,0.101,ERBB3,Caution,Rabbit,PTM,-0.088074,-1.146762949
AGID00398,7.758760544157663,3377,Set181,Histone-H3_pS10,-0.372455048,H3C1,Valid,Rabbit,PTM,-0.641721718,0.58039963
AGID00036,5.780743515792329,2401,Set181,HSP27_pS82,2.072542064,HSPB1,Valid,Rabbit,PTM,-0.377169808,-5.49498401
AGID00197,7.108244139731541,3024,Old,IGF1R_pY1135Y1136,0.38386,IGF1R/INSR,Valid,Rabbit,PTM,0.14485,2.650051778
AGID00520,7.83241092718792,4947,Set181,IRF-3_pS396,0.475190229,IRF3,Caution,Rabbit,PTM,0.147703123,3.217198251
AGID00758,5.934894195619588,4671,Old,JNK_pT183Y185,0.24635,MAPK8,Caution,Rabbit,PTM,-0.49929,-0.493400629
AGID00244,7.221105098182496,2568,Set181,LRP6_pS1490,0.004210549,LRP6,Valid,Rabbit,PTM,-0.058324318,-0.072191997
AGID02154,7.8083230503910555,4370,Old,MAPK_pT202Y204,1.1464,MAPK1/MAPK3,Caution,Rabbit,PTM,-1.3264,-0.864294331
AGID00175,7.060476365999801,3521,Set181,MDM2_pS166,-0.352298826,MDM2,Valid,Rabbit,PTM,-0.177993139,1.979283179
AGID00143,6.981934677156389,9154,Old,MEK1_pS217S221,1.1715,MAP2K1/MAP2K2,Valid,Rabbit,PTM,-1.2204,-0.95993117
AGID00338,7.577121930876679,12110,Set181,MERIT40_pS29,0.186302691,BABAM1,Valid,Rabbit,PTM,-0.218091193,-0.854242156
AGID00047,6.102558594613569,2971,Old,MTOR_pS2448,0.11092,MTOR,Caution,Rabbit,PTM,-0.30724,-0.3610207
AGID00173,7.057036981697891,5026,Old,MYOSINIIA_pS1943,-0.20207,MYH9,Valid,Rabbit,PTM,0.13828,-1.461310385
AGID00156,7.027314514039777,3217,Old,NDRG1_pT346,0.77094,NDRG1,Valid,Rabbit,PTM,-1.0027,-0.768864067
AGID00048,6.126869184114185,3033,Old,NFKBP65_pS536,-0.54745,RELA,Caution,Rabbit,PTM,-1.44,0.380173611
AGID00096,6.736966958001855,AF1555,Old,P27_pT157,0.085048,CDKN1B,Caution,Rabbit,PTM,0.26142,0.325330885
AGID00099,6.778784897685177,ab64949,Old,P27_pT198,-0.20661,CDKN1B,Valid,Rabbit,PTM,0.11316,-1.825821845
AGID00098,6.173786103901937,9211,Old,P38_pT180Y182,0.50942,MAPK11/MAPK12/MAPK13/MAPK14,Valid,Rabbit,PTM,-1.5789,-0.322642346
AGID00052,6.20455776256869,9205,Old,P70S6K_pT389,0.36451,RPS6KB1,Valid,Rabbit,PTM,-0.22388,-1.628149008
AGID00531,6.647688373563329,9344,Old,P90RSK_pT359S363,-0.26486,RPS6KA1,Caution,Rabbit,PTM,-0.45394,0.583469181
AGID00182,7.072421900537371,9346,Set181,p90RSK_pT573,-0.449422813,RPS6KA1,Caution,Rabbit,PTM,-0.341432948,1.316284253
AGID00057,6.248042874508429,3061,Old,PDK1_pS241,-0.59404,PDPK1,Valid,Rabbit,PTM,-0.2602,2.283013067
AGID00125,6.926577033222725,44-836G,Old,PEA15_pS116,-0.1035,PEA15,Valid,Rabbit,PTM,0.21607,-0.479011431
AGID00259,7.2633296174768365,9375,Set181,PKC-a-b-II_pT638_T641,-0.505250084,PRKCA/PRKCB,Valid,Rabbit,PTM,0.630376763,-0.801504931
AGID00460,6.274762021241939,06-822,Old,PKCALPHA_pS657,-0.42426,PRKCA,Caution,Rabbit,PTM,0.56764,-0.74741033
AGID00114,6.838405200847344,07-875,Old,PKCDELTA_pS664,0.17542,PRKCD,Valid,Rabbit,PTM,0.11511,1.523933629
AGID00163,7.037027614686276,9371,Old,PKCPANBETAII_pS660,-0.77538,PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ,Valid,Rabbit,PTM,-0.86123,0.900316988
AGID02138,7.80057265467065,GTX133463,Set181,PLC-gamma2_pY759,0.304662811,PLCG2,Valid,Rabbit,PTM,0.37868018,0.804538571
AGID00082,6.606650186198215,44-1100G,Old,PRAS40_pT246,-0.41187,AKT1S1,Valid,Rabbit,PTM,-0.56464,0.729438226
AGID00424,7.782807262839695,OAAF05458,Set181,PRC1_pT481,-0.489680225,PRC1,Caution,Rabbit,PTM,-0.207273529,2.362483176
AGID00275,7.382746449738912,3291,Set181,Pyk2_pY402,-0.203233301,PTK2B,Caution,Rabbit,PTM,-0.173207419,1.17335217
AGID00060,6.324358962381311,9308,Old,RB_pS807S811,-1.0592,RB1,Valid,Rabbit,PTM,-1.7561,0.603154718
AGID00547,6.601230118728877,3221,Old,RET_pY905,-0.02873921201086957,RET,Caution,Rabbit,PTM,-0.27407141500000004,-1.1314021922934783
AGID00160,7.030857476116121,3806,Old,RICTOR_pT1135,-0.26604,RICTOR,Valid,Rabbit,PTM,-0.063572,4.18486126
AGID00246,7.226936018493289,A300-245A,Set181,RPA32_pS4_S8,-0.221272314,RPA2,Caution,Rabbit,PTM,0.147962383,-1.495463303
AGID00062,6.398594934535208,2211,Old,S6_pS235S236,0.35986,RPS6,Valid,Rabbit,PTM,-0.86766,-0.414747712
AGID00063,6.400257445308821,2215,Old,S6_pS240S244,0.46263,RPS6,Valid,Rabbit,PTM,-0.91052,-0.508094276
AGID02168,7.814803429489359,bs-3413R,Old,SHC_pY317,0.2064,SHC1,Caution,Rabbit,PTM,0.22401,0.921387438
AGID00183,7.074116816197362,3751,Old,SHP2_pY542,0.24761,PTPN11,Caution,Rabbit,PTM,-0.42186,-0.586948277
AGID02157,7.80954132465341,6943,Old,SRC_pY416,0.19273,SRC,Valid,Rabbit,PTM,-0.11566,-1.666349646
AGID00068,6.440946540632921,2105,Old,SRC_pY527,0.10704,SRC,Valid,Rabbit,PTM,-1.769,-0.060508762
AGID00388,6.45833828334479,9131,Old,STAT3_pY705,2.0,STAT3,Valid,Rabbit,PTM,2.0,2.0
AGID02194,7.828834527588089,ab109403,Old,TUBERIN_pT1462,-0.36508,TSC2,Valid,Rabbit,PTM,-0.40812,0.894540821
AGID00284,7.394493107219038,6888,Set181,ULK1_pS757,0.183586942,ULK1,Caution,Rabbit,PTM,-0.352982348,-0.520102331
AGID00354,7.629975707027789,4910,Set181,Wee1_pS642,-0.305271452,WEE1,Caution,Rabbit,PTM,-0.341708052,0.893369209
AGID00089,6.663132695990803,4911,Old,YAP_pS127,0.015197,YAP1,Valid,Rabbit,PTM,0.72628,0.020924437
AGID00095,6.728628613084702,2900,Old,YB1_pS102,0.37015,YBX1,Valid,Rabbit,PTM,-0.35702,-1.036776651
AGID00100,6.78332520060396,sc-628,Old,1433BETA,0.19737,YWHAB,Valid,Rabbit,Protein,0.079477,2.483359966
AGID00111,6.81783057145415,sc-23957,Old,1433EPSILON,0.3402,YWHAE,Caution,Mouse,Protein,0.17935,1.896849735
AGID00101,6.784457062637643,sc-1019,Old,1433ZETA,2.0,YWHAZ,Valid,Rabbit,Protein,2.0,2.0
AGID00001,1.0986122886681096,9452,Old,4EBP1,0.35537,EIF4EBP1,Valid,Rabbit,Protein,0.42422,0.837702136
AGID00120,6.893656354602635,4937,Old,53BP1,-1.058,TP53BP1,Valid,Rabbit,Protein,0.27433,-3.856668975
AGID00005,2.70805020110221,1768-1/ab45174,Old,ACC1,-1.0893,ACACA/ACACB,Caution,Rabbit,Protein,-0.5547,1.963764197
AGID00408,7.771910256435763,3658,Set181,AceCS1,0.355934551,ACSS2,Valid,Rabbit,Protein,0.053004636,6.715158859
AGID00473,7.075808863978387,5335,Old,ACETYLATUBULINLYS40,-0.82615,TUBA1B,Under Evaluation,Rabbit,Protein,-0.44698,1.848292989
AGID00404,7.769800996003896,9189,Set181,ACSL1,-0.826409552,ACSL1,Valid,Rabbit,Protein,-0.499658627,1.653948331
AGID02144,7.804251383528112,PA5-27081,Old,ACVRL1,0.38132,ACVRL1,Caution,Rabbit,Protein,0.15638,2.438419235
AGID00186,7.089243155027514,ab88574,Old,ADAR1,0.22504,ADAR,Valid,Mouse,Protein,0.14147,1.590725949
AGID00146,6.98933526597456,4691,Old,AKT,-0.95064,AKT1/AKT2/AKT3,Valid,Rabbit,Protein,-0.52198,1.821219204
AGID00316,7.496097345175956,3063,Set181,Akt2,0.233350526,AKT2,Valid,Rabbit,Protein,-0.334985682,-0.696598507
AGID02215,7.8547691834991324,ab195377,Set181,ALKBH5,0.303397421,ALKBH5,Valid,Rabbit,Protein,0.592187754,0.512333156
AGID00498,6.829793737512425,CA1030,Old,ALPHACATENIN,0.04626667643013698,CTN 1,Valid,Mouse,Protein,0.08125660245430107,0.5103230550456987
AGID00006,3.6888794541139363,2532,Old,AMPKALPHA,-0.43411,PRKAA1/PRKAA2,Caution,Rabbit,Protein,-0.19929,2.178282904
AGID00193,7.097548850614793,610066,Old,ANNEXIN1,2.0443,ANXA1,Valid,Mouse,Protein,1.0832,1.887278434
AGID00166,7.04141166379481,610668,Old,ANNEXINVII,0.19215,ANXA7,Valid,Mouse,Protein,-0.079879,-2.405513339
AGID00371,6.6293632534374485,1852-1/ab52615,Old,AR,-0.75735,AR,Valid,Rabbit,Protein,-0.44815,1.689947562
AGID00194,7.1049654482698426,4432,Old,ARAF,-0.13522,ARAF,Valid,Rabbit,Protein,0.20523,-0.658870535
AGID00260,6.960347729101308,sc-32761,Old,ARID1A,0.035849,ARID1A,Caution,Mouse,Protein,0.24366,0.147127144
AGID00264,7.353081920515432,HPA029318,Old,ASNS,1.5231,ASNS,Valid,Rabbit,Protein,0.76583,1.988822585
AGID00276,7.385851078125209,3415,Set181,Atg3,-0.116958999,ATG3,Valid,Rabbit,Protein,-0.196354587,0.595651982
AGID00309,7.4821189235521155,13507,Set181,Atg4B,0.20012647,ATG4B,Caution,Rabbit,Protein,0.443555301,0.45118719
AGID00310,7.482681828154651,12994,Set181,Atg5,0.523758294,ATG5,Caution,Rabbit,Protein,0.631191832,0.829792572
AGID00277,7.3864708488298945,8558,Set181,Atg7,-0.799338524,ATG7,Valid,Rabbit,Protein,-0.62278462,1.283491111
AGID00242,7.218176838403408,2873,Old,ATM,0.11348,ATM,Valid,Rabbit,Protein,2.217,0.051186288
AGID00217,7.162397497355718,ab14748,Set181,ATP5A,2.0,ATP5F1A,Caution,Mouse,Protein,2.0,2.0
AGID02145,7.804659297056102,PA5-43776,Set181,ATP5H,-0.382372847,ATP5PD,Valid,Rabbit,Protein,-0.395864396,0.965918761
AGID02150,7.806696372521179,13934,Set181,ATR,-0.267473756,ATR,Valid,Rabbit,Protein,0.03747994,-7.136451019
AGID00268,7.358830898342354,ab97508,Set181,ATRX,0.006834668,ATRX,Caution,Rabbit,Protein,1.160600684,0.005888906
AGID00391,7.75491027202143,14475,Set181,Aurora-A,0.067409574,AURKA,Caution,Rabbit,Protein,-0.025377094,-2.656315731
AGID02195,7.829232537543592,MA5-27890,Set181,Aurora-B,0.471552848,AURKB,Valid,Rabbit,Protein,-0.048743694,-9.674130319
AGID00215,7.148345743900068,8661,Old,AXL,0.04626667643013698,AXL,Valid,Rabbit,Protein,-0.30146,0.0
AGID02143,7.803843303538772,8457,Set181,b-Actin,2.0,ACTB,Caution,Rabbit,Protein,2.0,2.0
AGID00301,7.453561871643373,14058,Set181,B7-H3,0.208608701,CD276,Caution,Rabbit,Protein,0.144302043,1.445639276
AGID00302,7.454141078146678,14572,Set181,B7-H4,0.205055674,VTCN1,Caution,Rabbit,Protein,0.162256947,1.263771307
AGID00009,4.276666119016055,1542-1/ab32371,Old,BAK,-0.072861,BAK1,Caution,Rabbit,Protein,-0.24317,0.299629889
AGID00192,7.0967213784947605,sc-28383,Old,BAP1C4,-0.28728,BAP1,Valid,Mouse,Protein,0.1831,-1.5689787
AGID00010,4.304065093204169,2772,Old,BAX,0.14236,BAX,Valid,Rabbit,Protein,-0.35758,-0.3981207
AGID00433,4.394449154672439,M0887,Old,BCL2,-0.94764,BCL2,Valid,Mouse,Protein,-0.66808,1.41845288
AGID00219,7.170119543449628,PAB8528,Old,BCL2A1,0.37814,BCL2A1,Valid,Rabbit,Protein,0.1825,2.072
AGID00012,4.442651256490317,1018-1,Old,BCLXL,0.40587,BCL2L1,Valid,Rabbit,Protein,-0.04403,-9.218033159
AGID00377,4.477336814478207,sc-10086,Old,BECLIN,-0.28881,BECN1,Caution,Goat,Protein,0.24248,-1.191067305
AGID00011,4.330733340286331,9562,Old,BETACATENIN,-0.36527,CTNNB1,Valid,Rabbit,Protein,-0.091793,3.979279466
AGID00013,4.48863636973214,1008-1/ab32060,Old,BID,0.099659,BID,Caution,Rabbit,Protein,0.063476,1.570026467
AGID00180,4.51085950651685,1036-1/ab32158,Old,BIM,0.57906,BCL2L11,Valid,Rabbit,Protein,0.98752,0.586377997
AGID00221,7.179307969504034,610978,Set181,BiP-GRP78,0.257729229,HSPA5,Caution,Mouse,Protein,0.031153581,8.272860478
AGID00355,4.532599493153256,1647/ab33899,Old,BRAF,-1.3053,BRAF,Valid,Rabbit,Protein,-0.46543,2.804503362
AGID00445,6.635946555686647,9012,Old,BRCA2,-0.1944,BRCA2,Caution,Rabbit,Protein,0.088125,-2.205957447
AGID00266,7.357556200910353,13440,Old,BRD4,-1.3124,BRD4,Valid,Rabbit,Protein,0.27266,-4.813320619
AGID00278,7.38770923908104,3130,Set181,c-IAP2,0.20940123,BIRC3,Caution,Rabbit,Protein,-0.266758926,-0.78498303
AGID00345,7.596392304064196,5649,Old,CA9,0.04626667643013698,CA9,Caution,Rabbit,Protein,0.08125660245430107,0.5103230550456987
AGID00265,7.356279876550748,2862,Old,CABL,0.069877,ABL1,Valid,Rabbit,Protein,-0.24143,-0.289429648
AGID00429,7.786551806428712,2679,Set181,Calnexin,0.968313411,CANX,Valid,Rabbit,Protein,0.759245052,1.275363479
AGID00176,7.061334366910438,9496,Set181,Caspase-8-cleaved,0.279597667,CASP8,Caution,Rabbit,Protein,-0.271898395,-1.028316725
AGID00623,4.718498871295094,9665,Old,CASPASE3,2.0,CASP3,Under Evaluation,Rabbit,Protein,2.0,2.0
AGID00015,4.700480365792417,9491,Old,CASPASE7CLEAVEDD198,1.895,CASP7,Caution,Rabbit,Protein,-0.71737,-2.641593599
AGID00118,6.858565034791365,9746,Old,CASPASE8,-0.36989,CASP8,Caution,Mouse,Protein,0.29379,-1.259028558
AGID00537,6.8416154764775925,551246,Old,CASPASE9,0.04626667643013698,CASP9,Under Evaluation,Mouse,Protein,0.08125660245430107,0.5103230550456987
AGID00016,4.74493212836325,3238,Old,CAVEOLIN1,-1.3833,CAV1,Valid,Rabbit,Protein,-0.78447,1.763356151
AGID00358,7.650168700845001,ab76000,Set181,CD134,-0.58589374,TNFRSF4,Valid,Rabbit,Protein,-0.156555306,3.742407428
AGID00303,7.460490305825338,826701,Set181,CD171,2.0,L1CAM,Valid,Mouse,Protein,2.0,2.0
AGID00410,4.836281906951478,1632-1/ab78237,Old,CD20,0.019022,MS4A1,Caution,Rabbit,Protein,-0.10673,-0.178225429
AGID00220,7.1770187659099,ab28340,Old,CD26,0.25433,DPP4,Valid,Rabbit,Protein,0.10496,2.423113567
AGID00191,7.095893221097532,610467,Set181,CD29,0.115177531,ITGB1,Valid,Mouse,Protein,0.04509882,2.553892341
AGID00017,4.852030263919617,M0823,Old,CD31,-0.094781,PECAM1,Valid,Mouse,Protein,0.23541,-0.402620959
AGID00369,7.684783943522785,ab108403,Set181,CD38,0.583502561,CD38,Caution,Rabbit,Protein,-0.299394047,-1.9489451
AGID00359,7.652070746116482,ab133616,Set181,CD4,-0.520839262,CD4,Valid,Rabbit,Protein,-0.341141108,1.526756084
AGID00411,7.243512974665482,3570,Set181,CD44,-0.330950467,CD44,Caution,Mouse,Protein,-0.413665758,0.800043176
AGID00237,7.210079628170788,M070101-2,Set181,CD45,-0.086500072,PTPRC,Valid,Mouse,Protein,-0.312931336,0.276418697
AGID00115,6.843749949006225,611016,Old,CD49B,-0.17277,ITGA2,Valid,Mouse,Protein,-0.18536,0.932078118
AGID02171,7.817222785508166,91882,Set181,CD86,0.355136148,CD86,Caution,Rabbit,Protein,0.151624346,2.342210584
AGID00329,7.535830462798367,4688,Set181,cdc25C,0.034617796,CDC25C,Valid,Rabbit,Protein,0.037653078,0.91938821
AGID00227,7.195187320178709,4651,Set181,Cdc42,0.102324833,CDC42/RAC1,Caution,Rabbit,Protein,-0.032771366,-3.122385347
AGID00422,7.781973234434385,3387,Set181,Cdc6,-0.164006814,CDC6,Valid,Rabbit,Protein,-0.156107171,1.050603973
AGID00501,6.915723448631314,9112,Old,CDK1,-0.065554,CDK1,Valid,Rabbit,Protein,-0.28657,0.228753882
AGID00423,7.7823903355874595,8064,Set181,CDT1,-0.12671616,CDT1,Valid,Rabbit,Protein,0.152910513,-0.828694885
AGID02101,7.761744984658913,15102,Set181,cGAS,0.245997421,CGAS,Valid,Rabbit,Protein,0.237364606,1.036369428
AGID00447,7.787796878181171,13460,Set181,CHD1L,0.892387574,CHD1L,Valid,Rabbit,Protein,1.37030627,0.651232205
AGID00189,7.093404625868766,2360,Old,CHK1,2.0,CHEK1,Caution,Mouse,Protein,2.0,2.0
AGID00018,4.990432586778736,3440,Old,CHK2,-0.31931,CHEK2,Valid,Mouse,Protein,0.20852,-1.531315941
AGID00527,7.639642287858013,4952,Old,CIAP,0.17133,BIRC2,Valid,Rabbit,Protein,0.24784,0.69129277
AGID00350,7.610357618312838,3793,Set181,CIITA,-0.192179503,CIITA,Caution,Rabbit,Protein,-0.106353583,1.806986634
AGID00020,5.062595033026967,1522-1/ab32363,Old,CKIT,0.18733,KIT,Valid,Rabbit,Protein,-0.33233,-0.563686697
AGID00400,6.748759547491679,NB100-91714,Old,CLAUDIN7,2.0,CLDN7,Valid,Rabbit,Protein,2.0,2.0
AGID00466,6.588926477533519,3127,Old,CMET,-0.074426,MET,Caution,Mouse,Protein,-0.042924,1.73390178
AGID00167,5.087596335232384,9402,Old,CMYC,-0.51843,MYC,Caution,Rabbit,Protein,0.099511,-5.209775804
AGID00292,7.4127640174265625,11130-1-AP,Old,COG3,-0.67986,COG3,Valid,Rabbit,Protein,-0.1766,3.849716874
AGID00021,5.147494476813453,sc-20649,Old,COLLAGENVI,0.49665,COL6A1,Valid,Rabbit,Protein,0.31383,1.58254469
AGID00141,6.975413927455952,459230,Old,COMPLEXIISUBUNIT30,0.04626667643013698,SDHB,Valid,Mouse,Protein,0.08125660245430107,0.5103230550456987
AGID00267,7.358193752733032,3512,Set181,Connexin-43,2.0,GJA1,Caution,Rabbit,Protein,2.0,2.0
AGID00269,7.360103972989152,6434,Set181,Coup-TFII,2.0,NR2F2,Caution,Rabbit,Protein,2.0,2.0
AGID00150,7.018401799069201,4850,Set181,Cox-IV,0.696833289,COX4I1,Valid,Rabbit,Protein,-0.306432271,-2.274020575
AGID00195,7.105786129481271,4842,Set181,Cox2,2.0,PTGS2,Caution,Rabbit,Protein,2.0,2.0
AGID00188,6.6895992691789665,05-739,Old,CRAF,-0.23104,RAF1,Valid,Rabbit,Protein,-0.093611,2.468086016
AGID00023,5.204006687076795,9197,Set181,Creb,0.276245221,CREB1,Caution,Rabbit,Protein,-0.539475902,-0.512062207
AGID00365,7.6760099320288875,4980,Set181,CSK,-0.400917018,CSK,Caution,Rabbit,Protein,0.313922444,-1.277121231
AGID00367,7.6783263565068856,9201,Set181,CtIP,-0.328374067,RBBP8,Valid,Rabbit,Protein,0.097422683,-3.370612027
AGID00536,7.64826303090192,ab107198,Old,CTLA4,0.04626667643013698,CTLA4,Caution,Rabbit,Protein,0.08125660245430107,0.5103230550456987
AGID00025,5.293304824724492,2936,Set181,Cyclin-D3,2.0,CCND3,Valid,Mouse,Protein,2.0,2.0
AGID00024,5.262690188904886,1495-1/ab32053,Old,CYCLINB1,0.37575,CCNB1,Valid,Rabbit,Protein,0.17247,2.178639763
AGID00382,5.272999558563747,sc-718,Old,CYCLIND1,-0.023786,CCND1,Valid,Rabbit,Protein,-0.06582,0.36137952
AGID00437,5.298317366548036,sc-25303,Old,CYCLINE1,2.0,CCNE1,Caution,Mouse,Protein,2.0,2.0
AGID00449,5.313205979041787,1142-1,Old,CYCLINE2,0.34387,CCNE2,Caution,Rabbit,Protein,-0.13751,-2.500690859
AGID00209,7.1372784372603855,ab110324,Set181,Cyclophilin-F,0.673490126,PPIF,Valid,Mouse,Protein,-0.252145418,-2.671038527
AGID00247,7.22983877815125,ab48389,Set181,D-a-Tubulin,-0.110471612,TUBA4A,Valid,Rabbit,Protein,0.034091736,-3.240422019
AGID00304,7.4645098346365275,ab51601,Set181,DAPK2,-0.158145794,DAPK2,Caution,Rabbit,Protein,0.081732996,-1.934907586
AGID00343,7.591357046698551,6998,Set181,DDB-1,0.437529828,DDB1,Valid,Rabbit,Protein,0.257952103,1.696166935
AGID00427,7.784473235736469,5583,Set181,DDR1,-0.098642686,DDR1,Valid,Rabbit,Protein,0.107037617,-0.921570274
